feature_name,importance
item_sales_level,1925
next_diff,1594
user_star_level,945
item_id_item_sales_level_avg,798
after_item_query_1_cnt,725
diff_item_sales_level_today_d_7days,708
user_age_level,670
after_query_1_cnt,621
full_user_id_item_id_cnt,597
full_user_id_cnt,521
before_query_1_item_cnt,467
diff_last_click,428
query_6_d_5_cnt,426
item_category_list_query1_7days_cvr,420
mid_diff,404
item_id_3_d_2_cnt,400
max_diff,384
item_id_5_d_4_cnt,366
item_category_list_query_7days_cvr,363
after_cate_query_1_cnt,358
query_3_d_2_cnt,358
query_4_d_3_cnt,353
avg_diff,351
item_id_1_d_0_cnt,350
item_id_4_d_3_cnt,342
query_2_d_1_cnt,339
min_diff,329
predict_category_property_6_d_5_cnt,325
item_id_6_d_5_cnt,322
item_id_query1_7days_cvr,320
shop_id_item_category_list_7days_cvr,319
query_5_d_4_cnt,318
item_id,317
before_query_item_cnt,315
query_1_d_0_cnt,309
same_property,307
query_1_d_0_buy,307
shop_id,301
shop_id_4_d_3_cnt,301
diff_shop_score_service_today_d_6day,298
property_num,297
query_3_d_2_buy,297
shop_id_5_d_4_cnt,296
shop_id_1_d_0_cnt,295
shop_id_2_d_1_cnt,295
item_category_list_item_city_id_7days_cvr,290
shop_id_3_d_2_cnt,288
query_4_d_3_buy,285
item_brand_id_1_d_0_cnt,282
diff_shop_score_delivery_today_d_6day,280
item_id_2_d_1_cnt,279
shop_id_shop_score_delivery_var,274
shop_id_shop_score_description_var,271
shop_id_shop_score_description_avg,271
item_city_id_query1_7days_cvr,265
shop_score_delivery,259
item_brand_id_2_d_1_cnt,259
diff_shop_score_description_today_d_6day,259
item_category_list_predict_category_property_7days_cvr,256
query1_query_7days_cvr,252
shop_id_shop_score_delivery_avg,252
shop_id_query1_7days_cvr,251
shop_score_description,248
query_6_d_5_buy,248
diff_shop_score_description_today_d_7days,245
item_id_query_cross_x,241
item_brand_id,239
query_2_d_1_buy,239
item_id_query_cross_y,238
days7_top10_query_cnt,238
full_user_id_shop_id_cnt,235
after_query_cate_cnt,232
previous_diff,232
item_city_id_query_7days_cvr,231
item_cvr_city_7days_rank,229
query_5_d_4_buy,228
item_brand_id_5_d_4_cnt,226
shop_id_6_d_5_cnt,226
user_continue_nobuy_click_cnt,225
item_id_item_collected_level_avg,225
query_7days_cvr,223
context_page_id_predict_category_property_7days_cvr,223
item_id_item_city_id_7days_cvr,222
item_cvr_cate_7days_rank,219
item_brand_id_3_d_2_cnt,219
shop_id_4_d_3_buy,219
item_brand_id_4_d_3_cnt,218
shop_review_positive_rate,217
user_id_query1_cross_x,217
shop_id_shop_score_service_var,217
diff_shop_review_positive_rate_today_d_6day,217
item_brand_id_1_d_0_buy,214
predict_category_property_2_d_1_cnt,214
after_item_query_all_cnt,212
item_brand_id_query1_7days_cvr,212
item_city_id_context_page_id_7days_cvr,212
shop_id_1_d_0_buy,212
item_brand_id_3_d_2_buy,211
item_id_query1_cross_y,208
shop_id_shop_review_positive_rate_avg,208
item_brand_id_7days_cvr,206
query_context_page_id_7days_cvr,203
shop_id_2_d_1_buy,203
predict_category_property_5_d_4_cnt,201
user_id_query1_cross_y,200
days7_predict_category_property_context_page_id_cnt,199
item_brand_id_6_d_5_cnt,198
full_user_id_query1_cnt,198
diff_shop_score_service_today_d_7days,198
shop_id_5_d_4_buy,197
day6_predict_category_property_context_page_id_cnt,197
diff_item_pv_level_today_d_7days,197
item_id_context_page_id_7days_cvr,195
diff_shop_score_delivery_today_d_7days,192
item_brand_id_2_d_1_buy,191
predict_category_propertycnt5,190
diff_first_click,189
user_cvr_cate_7days_rank,189
shop_id_context_page_id_7days_cvr,188
day6_shop_id_context_page_id_cnt,188
days7_shop_id_context_page_id_cnt,188
item_brand_id_item_city_id_7days_cvr,187
day6_top10_context_page_id_cnt,187
shop_id_3_d_2_buy,186
query_context_page_id_6day_cvr,185
item_brand_id_item_category_list_7days_cvr,185
item_category_list_context_page_id_7days_cvr,185
item_brand_id_4_d_3_buy,184
item_brand_id_context_page_id_7days_cvr,183
shop_id_6_d_5_buy,183
predict_category_property_4_d_3_cnt,181
days7_top10_context_page_id_cnt,181
predict_category_property_7days_cvr,179
item_brand_id_6_d_5_buy,178
days7_user_id_context_page_id_cnt,178
item_id_cate_cross_x,176
predict_category_propertycnt0,175
item_category_list_query_6day_cvr,174
item_id_7days_cvr,174
days7_item_city_id_predict_category_property_cnt,174
before_query_all_item_cnt,173
shop_id_shop_review_positive_rate_var,173
item_city_id_query_6day_cvr,172
query1_context_page_id_7days_cvr,170
item_id_item_city_id_cross_y,170
item_brand_id_5_d_4_buy,168
user_cvr_city_7days_rank,166
query1_query_6day_cvr,165
day6_item_brand_id_query_cnt,165
days7_item_brand_id_predict_category_property_cnt,164
days7_top10_query1_cnt,164
day6_shop_id_query_cnt,163
days7_shop_id_query_cnt,163
